Cel_biznesowy,KORZYSCIE_DLA_BANKU_OBSZARU_ZESPOLU,KPI,Korzyść_dla_Banku_Obszaru_Zespołu,NAZWA_PROJEKT,NUMER,OPIS_CO_BADAMY,Opis,PRIORYTET,PROBLEM,Projekt,STATUS,STRUMIEN,TAI_refined_zadania,TAI_tagi,TAI_tagi_list,TAI_tagi_normalized,TAI_tok_myslenia,TAI_uwagi,TYP,WHISPER_NEXIDIA,Zespol_zglaszajacy_potrzebe,dodatkowe,pipeline_key,pipeline_tags,pipeline::frazy-binary,"pipeline::frazy-binary, frazy-clustering, frazy-ekstrakcja","pipeline::frazy-binary, frazy-clustering, frazy-ekstrakcja, frazy-klient-sentyment","pipeline::frazy-binary, frazy-clustering, frazy-klient-sentyment","pipeline::frazy-binary, frazy-ekstrakcja","pipeline::frazy-binary, frazy-klient-ekstrakcja",pipeline::frazy-binaryx2,"pipeline::frazy-binaryx2, frazy-clustering, frazy-ekstrakcja","pipeline::frazy-clustering, frazy-ekstrakcja",pipeline::frazy-ekstrakcja,pipeline::frazy-emocje,pipeline::frazy-klient-ekstrakcja
,% wzrost sprzedaży ŻIŻ do KG jako ubezpieczenie niepowiązane,"SR (Sales Revenue), SV (Sales Volumen)",,Życie i zdrowie,1,Uruchomione KG (1MSC WSTECZ) czy była propozycja ŻIŻ,,1,Zbyt mała sprzedaż ŻIŻ do KG,,,ODZ,"Czy podczas rozmowy telefonicznej (rozmowy sprzedażowej), która zakończyła się podpisaniem umowy kredytu gotówkowego była od doradcy propozycja zakupu ubezpieczenia życie i zdrowie","ofertowanie, frazy-binary, kredyt-got, ubezpieczenia","['ofertowanie', 'frazy-binary', 'kredyt-got', 'ubezpieczenia']","ofertowanie, frazy-binary, kredyt-got, ubezpieczenia",,,BIZNES,,,,frazy-binary,frazy-binary,1,0,0,0,0,0,0,0,0,0,0,0
,% wzrost sprzedaży LC do KG jako ubezpieczenie niepowiązane,"SR (Sales Revenue), SV (Sales Volumen)",,Locum,2,Uruchomione KG (1MSC WSTECZ) czy była propozycja LC,,1,Zbyt mała sprzedaż LC do KG,,,ODZ,"Czy podczas rozmowy telefonicznej (rozmowy sprzedażowej), która zakończyła się podpisaniem umowy kredytu gotówkowego była od doradcy propozycja zakupu ubezpieczenia locum comfort","ofertowanie, frazy-binary, kredyt-got, ubezpieczenia","['ofertowanie', 'frazy-binary', 'kredyt-got', 'ubezpieczenia']","ofertowanie, frazy-binary, kredyt-got, ubezpieczenia",,,BIZNES,,,,frazy-binary,frazy-binary,1,0,0,0,0,0,0,0,0,0,0,0
,% wzrost sprzedaży LC w ZZSKH,"SR (Sales Revenue), SV (Sales Volumen)",,Locum,3,Uruchomione KH (3MSC WSTECZ) czy była propozycja LC,,3,Zbyt mała sprzedaż LC w  ZZSKH,,,ODZ,Czy podczas rozmowy sprzedażowej z klientem zawierającym kredyt hipoteczny doradca proponował ubezpieczenie Locum Comfort?,"ofertowanie, frazy-binary, kredyt-hip, ubezpieczenia","['ofertowanie', 'frazy-binary', 'kredyt-hip', 'ubezpieczenia']","ofertowanie, frazy-binary, kredyt-hip, ubezpieczenia",,,BIZNES,,,,frazy-binary,frazy-binary,1,0,0,0,0,0,0,0,0,0,0,0
,% wzrost konwersji z utrzymania produktu,"SR (Sales Revenue), SV (Sales Volumen)",,Nazwa Query :Rezygnacja_z_produktu_ - konto osobiste,4,Linia Select IN.,,2,Rezygnacja z produktu/zamiana na konto Select,,,SELECT,,"rezygnacja, frazy-binary, konto-osobiste, select","['rezygnacja', 'frazy-binary', 'konto-osobiste', 'select']","rezygnacja, frazy-binary, konto-osobiste, select",,potrzeba doprecyzowania: w jakim kontekście klient rezygnuje z produktu i co oznacza zmiana na konto Select?,BIZNES,,,,frazy-binary,frazy-binary,1,0,0,0,0,0,0,0,0,0,0,0
,% spadek  poczty głosowej w rozmowach wychodzących,NPS,,Nazwa Query: Poczta Glosowa,5,Weryfikacja rozmów wychodzących trafiających na pocztę głosową. Docelowo wyszukanie przetrzymywania poczty głosowej przez doradców.,,3,Zbyt wysoki % poczty głosowej na rozmowach wychodzących,,,ODZ,"Czy doradca utrzymuje połączenie z pocztą głosową, a nie rozłącza się po nagraniu wiadomości/usłyszeniu, że jest to poczta głosowa","service, poczta-głosowa, frazy-binary, call-duration","['service', 'poczta-glosowa', 'frazy-binary', 'call-duration']","service, poczta-glosowa, frazy-binary, call-duration",,wieloetapowe:2 - do doprecyzowania zadanie związane z mierzeniem poczty głosowej,KONTROLA,,,,frazy-binary,frazy-binary,1,0,0,0,0,0,0,0,0,0,0,0
,wzrost ofertowania/sprzedaży KK,"SR (Sales Revenue), SV (Sales Volumen)",,Ofertowanie kart przy rozmowach kredytowych,6,Jak często pada oferta Karty kredytwoej w rozmowach kredytowych,,1,brak dodatkowej propozycji,,,ODZ,"Czy podczas rozmowy telefonicznej o produkcie kredytowym, doradca proponuje ofertę karty kredytowej","ofertowanie, frazy-binary, karta-kredytowa, kredyt-got","['ofertowanie', 'frazy-binary', 'karta-kredytowa', 'kredyt-got']","ofertowanie, frazy-binary, karta-kredytowa, kredyt-got",,,BIZNES,,,,frazy-binary,frazy-binary,1,0,0,0,0,0,0,0,0,0,0,0
,spadek % monologu doradcy,NPS,,Analiza relacji między doradcą a klientem np. czy doradca prowadzi dialog z klientem czy monolog.,7,udział monologu doradcy w trakcie prezentacji oferty kredytowej,,2,zbyt długie monologii doradcy (w początkowej cześci rozmowy),,,ODZ,Jaki procent rozmowy stanowią monologi doradcy - zwłaszcza w początkowej części rozmowy,"talk-time-analysis, dialog, kredyt-got, nps","['talk-time-analysis', 'dialog', 'kredyt-got', 'nps']","talk-time-analysis, dialog, kredyt-got, nps",,ustalenie,KONTROLA,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
,wzrost sprzedaży KG w grupie select,"SR (Sales Revenue), SV (Sales Volumen)",,ofertowanie klientów select,8,% udział ofertowania w rozmowach obsługowych w grupie select,,2,sprawdzenie ofertowania po rozwiązaniu problemu klienta,,,SELECT,Czy podczas rozmowy obsługowej - po rozwiązaniu problemu klienta - występuje przedstwienie oferty,"ofertowanie, frazy-binary, select, service","['ofertowanie', 'frazy-binary', 'select', 'service']","ofertowanie, frazy-binary, select, service",,,BIZNES,,,,frazy-binary,frazy-binary,1,0,0,0,0,0,0,0,0,0,0,0
,rozszeżenie działań nexidi związanych z transkrypcją - inf. o tym który doradca nie zbija obiekcji aby móc z nim pracować.,"SR (Sales Revenue), SV (Sales Volumen)",,sposoby zbijania obekcji/finalizacja sprzedaży,9,weryfikacja w jaki sposob doradca zbija obiekcje - transkrypcja przykąładowych rozmów na tekst w celu weryfikacji (czy nastapiło zbicie obekcji - jeśli tak to w jaki sposób),,3,brak zbijania obiekcji/finalizacji sprzedaży.,,,ODZ,"Identyfikacja, czy występują próby zbijania obiekcji finalizacji sprzedaży przez doradcę, jeśli tak, to zebranie takich sposobów zbicia i podsumowanie ich.","obiekcje, frazy-binary, frazy-ekstrakcja, frazy-clustering, sprzedaż","['obiekcje', 'frazy-binary', 'frazy-ekstrakcja', 'frazy-clustering', 'sprzedaż']","obiekcje, frazy-binary, frazy-ekstrakcja, frazy-clustering, sprzedaż",,wieloetapowe:3,BIZNES,,,,"frazy-binary, frazy-clustering, frazy-ekstrakcja","frazy-binary, frazy-clustering, frazy-ekstrakcja",0,1,0,0,0,0,0,0,0,0,0,0
,,"SR (Sales Revenue), SV (Sales Volumen)",,pls asysta BBC,10,czy byla rozmowa w danym dniu,,1,,,,ODZ,Brak informacji – proszę o uzupełnienie,,[],,,"Brak informacji co jest badane; proszę o doprecyzowanie, czym jest ""pls asysta BBC""",BIZNES,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
