canonical_tag,total_count,sources,variants
1)-baza-scenariuszy;-2)-porównanie-rozmów;-3)-raport-różnic;-4)-tryb-symulacji-czat.,1,voice2text:1,1) Baza scenariuszy; 2) Porównanie rozmów; 3) Raport różnic; 4) Tryb symulacji czat.
1)-binary:-czy-było-ofertowanie;-2)-ekstrakcja-i-klasteryzacja-argumentów;-3)-llm/klasyfikator-oceny-jakości-(skala),1,voice2text:1,1) Binary: czy było ofertowanie; 2) Ekstrakcja i klasteryzacja argumentów; 3) LLM/klasyfikator oceny jakości (skala)
1)-binary:-czy-padła-propozycja-wyższej-kwoty;-2)-ekstrakcja-argumentów;-3)-ocena-jakości-argumentacji-vs-efekt/sprzedaż.,1,voice2text:1,1) Binary: czy padła propozycja wyższej kwoty; 2) Ekstrakcja argumentów; 3) Ocena jakości argumentacji vs efekt/sprzedaż.
1)-detekcja-obiekcji-'brak-czasu';-2)-detekcja-reakcji-doradcy;-3)-scoring-skuteczności.,1,voice2text:1,1) Detekcja obiekcji 'brak czasu'; 2) Detekcja reakcji doradcy; 3) Scoring skuteczności.
1)-detekcja-parafrazy/odniesień-do-wypowiedzi-klienta;-2)-detekcja-szans-(słowa-kluczowe-klienta);-3)-powiązanie-i-scoring-wykorzystania-szans.,1,voice2text:1,1) Detekcja parafrazy/odniesień do wypowiedzi klienta; 2) Detekcja szans (słowa kluczowe klienta); 3) Powiązanie i scoring wykorzystania szans.
1)-detekcja-tematów-bezpieczeństwa;-2)-ekstrakcja-komunikatów;-3)-ocena-kompletności/jakości.,1,voice2text:1,1) Detekcja tematów bezpieczeństwa; 2) Ekstrakcja komunikatów; 3) Ocena kompletności/jakości.
1)-detekcja/ekstrakcja-ofert;-2)-reakcja-klienta-(sentyment/zgoda);-3)-predykcja-intencji;-4)-podsumowanie.,1,voice2text:1,1) Detekcja/ekstrakcja ofert; 2) Reakcja klienta (sentyment/zgoda); 3) Predykcja intencji; 4) Podsumowanie.
1)-dobór-par/zbiorów;-2)-ekstrakcja-cech;-3)-analiza-różnic;-4)-rekomendacje.,1,voice2text:1,1) Dobór par/zbiorów; 2) Ekstrakcja cech; 3) Analiza różnic; 4) Rekomendacje.
1)-ekstrakcja-kontekstu-(dzieci);-2)-detekcja-ofert-dopasowanych;-3)-raport-skuteczności;-4)-(opcjonalnie)-powiązanie-ze-sprzedażą.,1,voice2text:1,1) Ekstrakcja kontekstu (dzieci); 2) Detekcja ofert dopasowanych; 3) Raport skuteczności; 4) (opcjonalnie) powiązanie ze sprzedażą.
1)-ekstrakcja-parametrów-oferty-z-transkrypcji;-2)-pobranie-zapisów-z-systemu;-3)-porównanie;-4)-raport-niezgodności.,1,voice2text:1,1) Ekstrakcja parametrów oferty z transkrypcji; 2) Pobranie zapisów z systemu; 3) Porównanie; 4) Raport niezgodności.
1)-ekstrakcja-potrzeb-klienta;-2)-retrieval-produktów-(wektor+reranking);-3)-detekcja-reakcji-doradcy-(czy-zaproponował);-4)-audyt-zapisu-w-systemie.,1,voice2text:1,1) Ekstrakcja potrzeb klienta; 2) Retrieval produktów (wektor+reranking); 3) Detekcja reakcji doradcy (czy zaproponował); 4) Audyt zapisu w systemie.
1)-filtr-znanych-fraudów;-2)-clustering-reszty;-3)-detekcja-anomalii/nowych-tematów;-4)-przegląd-i-aktualizacja-słownika.,1,voice2text:1,1) Filtr znanych fraudów; 2) Clustering reszty; 3) Detekcja anomalii/nowych tematów; 4) Przegląd i aktualizacja słownika.
1)-indeks-wektorowy-+-bm25;-2)-reranking;-3)-filtry-i-podświetlenia-trafień.,1,voice2text:1,1) Indeks wektorowy + BM25; 2) Reranking; 3) Filtry i podświetlenia trafień.
1)-klasyfikacja-treści-do-skali;-2)-uzasadnienie/ślad-audytowy;-3)-propozycja-korekty.,1,voice2text:1,1) Klasyfikacja treści do skali; 2) Uzasadnienie/ślad audytowy; 3) Propozycja korekty.
1)-klasyfikacja/wyciągnięcie-przyczyn;-2)-sentyment/ton;-3)-predykcja-fcr/ryzyka;-4)-streszczenie-i-rekomendacja-działań.,1,voice2text:1,1) Klasyfikacja/wyciągnięcie przyczyn; 2) Sentyment/ton; 3) Predykcja FCR/ryzyka; 4) Streszczenie i rekomendacja działań.
1)-linkowanie-komentarz↔interakcja;-2)-sentyment/ocena;-3)-tematy/klastry;-4)-podsumowanie-powodów.,1,voice2text:1,1) Linkowanie komentarz↔interakcja; 2) Sentyment/ocena; 3) Tematy/klastry; 4) Podsumowanie powodów.
1)-ner-produktów;-2)-ekstrakcja/klastry-fraz;-3)-połączenie-ze-sprzedażą;-4)-ranking-skuteczności.,1,voice2text:1,1) NER produktów; 2) Ekstrakcja/klastry fraz; 3) Połączenie ze sprzedażą; 4) Ranking skuteczności.
1)-normalizacja-kanałów;-2)-klasyfikacja-tematów;-3)-dominujący-temat;-4)-sentyment/klastry.,1,voice2text:1,1) Normalizacja kanałów; 2) Klasyfikacja tematów; 3) Dominujący temat; 4) Sentyment/klastry.
1)-preprocessing;-2)-tematy/klastry;-3)-emocje;-4)-podsumowania-i-wizualizacja.,1,voice2text:1,1) Preprocessing; 2) Tematy/klastry; 3) Emocje; 4) Podsumowania i wizualizacja.
1)-segmentacja-etapów;-2)-klasyfikacja-emocji;-3)-detekcja-skoków-i-przyczyn;-4)-heatmapa.,1,voice2text:1,1) Segmentacja etapów; 2) Klasyfikacja emocji; 3) Detekcja skoków i przyczyn; 4) Heatmapa.
1)-segmentacja-transkrypcji;-2)-klient-vs-doradca;-3)-sentyment/emocje-per-segment-i-trend.,1,voice2text:1,1) Segmentacja transkrypcji; 2) Klient vs doradca; 3) Sentyment/emocje per segment i trend.
1)-słownik/wektorowa-baza-promocji;-2)-detekcja-i-ekstrakcja;-3)-agregacja-vs-sprzedaż.,1,voice2text:1,1) Słownik/wektorowa baza promocji; 2) Detekcja i ekstrakcja; 3) Agregacja vs sprzedaż.
1)-taksonomia-fraudów;-2)-klasyfikacja-+-ekstrakcja-sygnałów;-3)-agregacja/alertowanie.,1,voice2text:1,1) Taksonomia fraudów; 2) Klasyfikacja + ekstrakcja sygnałów; 3) Agregacja/alertowanie.
1)-zależności:-klasyfikacja-tematów,1,voice2text:1,1) Zależności: klasyfikacja tematów
