call_id,chunk_id,speaker,text
20240815_0001,1,ADVISOR,halo dzień dobry tu anna kowalska z banku santander rozmawiam z panem janem nowak?
20240815_0001,2,CUSTOMER,tak słucham
20240815_0001,3,ADVISOR,dzwonię w sprawie pańskiej aplikacji o kredyt gotówkowy eee pan składał wniosek na 50 tysięcy
20240815_0001,4,CUSTOMER,tak ale wie pani już się rozmyśliłem to jednak duże zobowiązanie
20240815_0001,5,ADVISOR,rozumiem pana obawy ale proszę pamiętać że to inwestycja w pana przyszłość a raty wynoszą tylko 890 złotych miesięcznie
20240815_0001,6,CUSTOMER,ale to jednak prawie tysiąc miesięcznie nie wiem czy sobie poradzę
20240815_0001,7,ADVISOR,pan zarabia ponad 6 tysięcy więc rata to niecałe 15% pana dochodów to bardzo bezpieczny poziom można też przedłużyć okres spłaty
20240815_0001,8,CUSTOMER,hmm nie wiem nadal
20240815_0001,9,ADVISOR,może pomogłoby gdyby pan wiedział że może pan w każdej chwili dokonać wcześniejszej spłaty bez dodatkowych kosztów?
20240815_0001,10,CUSTOMER,a rzeczywiście to brzmi lepiej
20240815_0001,11,ADVISOR,dodatkowo pierwsza rata dopiero za 60 dni więc ma pan czas na przygotowanie się
20240815_0001,12,CUSTOMER,dobra to może się jednak zdecyduję
20240815_0001,13,ADVISOR,świetnie wyślę panu umowę do podpisania
20240815_0002,1,ADVISOR,dzień dobry mówi katarzyna wiśniewska z banku pko bp czy rozmawiam z panią marią zielińską?
20240815_0002,2,CUSTOMER,tak to ja
20240815_0002,3,ADVISOR,dzwonię w sprawie karty kredytowej którą pani zainteresowana była w oddziale
20240815_0002,4,CUSTOMER,aa tak ale już nie chcę tej karty za drogie to
20240815_0002,5,ADVISOR,może wyjaśnię pani szczegóły bo myślę że są nieporozumienia karta nie kosztuje nic przez pierwszy rok
20240815_0002,6,CUSTOMER,ale potem będzie kosztować prawda?
20240815_0002,7,ADVISOR,tak ale tylko 10 złotych miesięcznie a może pani zaoszczędzić znacznie więcej dzięki cashbackowi
20240815_0002,8,CUSTOMER,jaki cashback?
20240815_0002,9,ADVISOR,dostaje pani zwrot 1% za każde zakupy a w wybranych kategoriach nawet 5% jeśli pani wydaje 1000 złotych miesięcznie to zwrot 10 złotych pokrywa koszt karty
20240815_0002,10,CUSTOMER,to znaczy że karta może być darmowa?
20240815_0002,11,ADVISOR,dokładnie tak a jeszcze dostaje pani 200 złotych premii za pierwsze zakupy
20240815_0002,12,CUSTOMER,to brzmi dobrze ale nie lubię zadłużać się
20240815_0002,13,ADVISOR,nie musi pani się zadłużać może pani płacić kartą i od razu spłacać przez aplikację bankową
20240815_0002,14,CUSTOMER,hmm czyli jak kartą debetową?
20240815_0002,15,ADVISOR,tak dokładnie ale z dodatkowymi korzyściami jak cashback i ubezpieczenia
20240815_0002,16,CUSTOMER,dobra to może spróbuję
20240815_0003,1,ADVISOR,halo dzień dobry tu robert mazur z mbanku rozmawiam z panem adamem?
20240815_0003,2,CUSTOMER,tak słucham ale właśnie jadę na spotkanie nie mam czasu
20240815_0003,3,ADVISOR,rozumiem zajmie to tylko minutę dzwonię w sprawie limitu debetowego w pana koncie
20240815_0003,4,CUSTOMER,nie jestem zainteresowany żadnymi limitami
20240815_0003,5,ADVISOR,ah okay to może innym razem miłego dnia
20240815_0003,6,CUSTOMER,dziękuję do widzenia
20240815_0004,1,ADVISOR,dzień dobry mówi aleksandra nowak z banku millennium czy zastałam panią beatę kowalczyk?
20240815_0004,2,CUSTOMER,tak słucham
20240815_0004,3,ADVISOR,dzwonię w sprawie pani wniosku o pożyczkę na remont
20240815_0004,4,CUSTOMER,tak ale już znalazłam lepszą ofertę gdzie indziej
20240815_0004,5,ADVISOR,rozumiem ale czy mogę zapytać o szczegóły tej oferty? może uda nam się dopasować warunki
20240815_0004,6,CUSTOMER,oferują mi 4,5% oprocentowania a u was było 6%
20240815_0004,7,ADVISOR,rzeczywiście to różnica ale proszę pamiętać że nasze oprocentowanie jest stałe przez cały okres spłaty
20240815_0004,8,CUSTOMER,a u nich jest zmienne?
20240815_0004,9,ADVISOR,tak najczęściej takie niskie oprocentowanie to wstępna oferta która potem rośnie
