Zespół zgłaszający potrzebę,Projekt,Cel biznesowy,KPI,Opis,Korzyść dla Banku/Obszaru/Zespołu,TAI - refined_zadania,TAI - tagi,TAI - uwagi,TAI - tok myslenia,dodatkowe,NUMER ,NAZWA - PROJEKT,KPI_BC,TYP (BIZNES/PROCES/KONTROLA),WHISPER/NEXIDIA,PRIORYTET,PROBLEM ,TAI-uwagi,TAI-tagi,TAI-refined zadania,OPIS- CO BADAMY ,KORZYŚCIE DLA BANKU/OBSZARU/ZESPOŁU,STRUMIEŃ,STATUS,TAI - tagi_standaryzowane,TAI-tagi_standaryzowane,TAI_tagi_final,pipeline_baza_wektorowa_frazy_clustering_frazy_ekstrakcja,pipeline_baza_wektorowa_bezpieczeństwo_frazy_ekstrakcja,pipeline_baza_wektorowa_fraudy_fraud_klasyfikacja_frazy_ekstrakcja_retrieval+reranking,pipeline_baza_wektorowa_indykatory_frazy_clustering_frazy_ekstrakcja,pipeline_baza_wektorowa_oswiadczenia(procedury)_frazy_binary,pipeline_baza_wektorowa_oświadczenia_baza_wektorowa_produkty_frazy_binary,pipeline_baza_wektorowa_procedury_frazy_binary_llm_ocena_pokrycia_retrieval,pipeline_baza_wektorowa_procedury_frazy_binary_retrieval,pipeline_baza_wektorowa_produktów_frazy_binary_frazy_klient_ekstrakcja,pipeline_baza_wektorowa_produktów_frazy_klient_ekstrakcja_retrieval+reranking,pipeline_baza_wektorowa_promocji_frazy_binary_frazy_ekstrakcja_retrieval+reranking,pipeline_baza_wektorowa_scripts_frazy_binary_llm_ocena_pokrycia_retrieval,pipeline_baza_wektorowa_skrypt_frazy_binary_frazy_clustering_frazy_ekstrakcja,pipeline_baza_wektorowa_skrypty_frazy_ekstrakcja_retrieval,pipeline_baza_wektorowa_tematy_frazy_ekstrakcja_kategoryzacja_rozmów_multi_label_klasyfikacja_ret...,pipeline_clustering_multi_channel_klasyfikacja_sentyment_topic_modeling,pipeline_frazy_binary,pipeline_frazy_binary_frazy_clustering_frazy_ekstrakcja,pipeline_frazy_binary_frazy_clustering_frazy_ekstrakcja_frazy_klient_sentyment,pipeline_frazy_binary_frazy_clustering_frazy_ekstrakcja_frazy_klient_sentyment_llm_podsumowanie,pipeline_frazy_binary_frazy_clustering_frazy_ekstrakcja_llm_ocena_argumentów_scoring_oferty,pipeline_frazy_binary_frazy_clustering_frazy_ekstrakcja_llm_opis_ocena,pipeline_frazy_binary_frazy_clustering_frazy_ekstrakcja_llm_opis_segment,pipeline_frazy_binary_frazy_clustering_frazy_ekstrakcja_llm_podsumowanie,pipeline_frazy_binary_frazy_clustering_frazy_ekstrakcja_scoring_wejścia,pipeline_frazy_binary_frazy_clustering_frazy_klient_sentyment,pipeline_frazy_binary_frazy_ekstrakcja,pipeline_frazy_binary_frazy_ekstrakcja_llm_ocena_argumentacji,pipeline_frazy_binary_frazy_ekstrakcja_llm_ocena_argumentów,pipeline_frazy_binary_frazy_ekstrakcja_pair_classification_agent_client,pipeline_frazy_binary_llm_ocena_pokrycia_retrieval,pipeline_frazy_binary_pair_classification_agent_client,pipeline_frazy_binary_x2,pipeline_frazy_binary_x2_frazy_clustering_frazy_ekstrakcja,pipeline_frazy_clustering_frazy_ekstrakcja,pipeline_frazy_clustering_frazy_ekstrakcja_llm_podsumowanie_sentyment,pipeline_frazy_clustering_frazy_ekstrakcja_llm_podsumowanie_topic_modeling,pipeline_frazy_clustering_frazy_ekstrakcja_llm_podsumowanie_profilu,pipeline_frazy_ekstrakcja_llm_różnice,pipeline_frazy_emocje_sentyment_czasowy,pipeline_kategoryzacja_rozmów_scoring_doradcy,pipeline_llm_klasyfikacja→skala,pipeline_llm_podsumowanie_retrieval_structured+unstructured,pipeline_llm_podsumowanie_sentyment_tema_clustering_topic_modeling,pipeline_llm_porównanie,pipeline_retrieval,pipeline_scoring
,Agent tajemniczy klient,,," Model wcielający się w ""tajemniczego klienta"" - pisanie z doradcami w kanale CZAT.",,,"agent, tajemniczy-klient",,,,,,,,,,,,,,,,,,"agent, tajemniczy-klient",,"agent, tajemniczy-klient",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,73.0,Aktualizacja danych,"CSAT (satysfakcja klienta), FCR, NPS",PROCES,,2.0,Nieaktualne dane = brak możlwiosci sprzedaży (dowód),,"frazy-binary,kyc,nps, service","Czy doradcy, widząc komunikat w systemie, informują klienta o konieczności aktualizacji danych (np. dowodu)?",Czy doradcy widząc komunikat informują o konieczności aktualizacji.,Większa liczba klinentów z aktualnymi danymi w bazach co wpłynie na dostepnosć oferty.,ODZ,,,"frazy-binary, kyc, nps, service","frazy-binary, kyc, nps, service",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,83.0,Aktualizacja dowodu na telefonie ,"CSAT (satysfakcja klienta), FCR, NPS",PROCES,,2.0,"Doradcy nie korzystaja z procesu, klienci nie są poinformowani",,"frazy-binary,kyc, service","Czy doradcy proponują aktualizację dowodu na telefonie podczas rozmów, informując klienta o takiej możliwości?",czy doradcy proponują aktualizację,aktualizascja danych = możliwosć skorzystania z oferty,ODZ,,,"frazy-binary, kyc, service","frazy-binary, kyc, service",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,14.0,"Analiza Fraz używanych przez doradców, które najczęściej prowadzą do sprzedaży","SR (Sales Revenue), SV (Sales Volumen)",KONTROLA,,1.0,,"wieloetapowe:2 - zakładając, że mamy oznaczone rozmowy, w których doszło do sprzedaży, jeśli nie to konieczne będzie dołożenie kroku frazy-binary","frazy-ekstrakcja, frazy-clustering, analiza-sprzedażowa","Analiza rozmów, w których doszło do sprzedaży. Jakie frazy najczęściej prowadzą do sprzedaży ",,,ODZ,,,"frazy-ekstrakcja, frazy-clustering, analiza-sprzedażowa","frazy-ekstrakcja, frazy-clustering, analiza-sprzedażowa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ZDKwKZ,Analiza emocji i potrzeb z danych jakościowych,Poprawa wskaźników jakościowych FCR/NPS/Sat NET,,"Model analizuje dane  z wywiadów pogłębionych, nagrań z CC, czatów – i wykrywa potrzeby, oczekiwania, wartości klientów. ",Poprawa jakości prowadzonych rozmów. Poprawa CX po kontakcie z CC,"Jakie potrzeby, oczekiwania i wartości klientów można zidentyfikować na podstawie danych jakościowych?","topic-modeling, frazy-ekstrakcja, frazy-clustering, llm-podsumowanie, dashboard",wieloetapowe:4,1) Preprocessing; 2) Tematy/klastry; 3) Emocje; 4) Podsumowania i wizualizacja.,baza wektorowa/mapowanie potrzeby emocje? czy tutaj nie wchodzimy już na działania zakazane? dp weryfikacji,,,,,,,,,,,,,,,"topic-modeling, frazy-ekstrakcja, frazy-clustering, llm-podsumowanie, dashboard",,"topic-modeling, frazy-ekstrakcja, frazy-clustering, llm-podsumowanie, dashboard",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ZDKwKZ,Analiza głosu klienta z badań FCR Pogłębiony/Badanie Transakcyjne/Relacyjne,Poprawa wskaźników jakościowych FCR/NPS/Sat NET,,"Wykonanie transkrypcji rozmów następnie analizy i streszczenia pod kątem jakościowym. Zweryfikowanie czy komentarz(głos klienta) łączy się treścią interakcji.  Wskazanie powodów ocen klientów (promotorów, neutralnych, detraktorów). Segmentacja opinii na pozytywne/negatywne/neutrealne. Grupowanie tematów wypowiedzi klientów ",Poprawa jakości prowadzonych rozmów. Poprawa CX po kontakcie z CC,Czy komentarze klientów w badaniach są spójne z treścią ich rozmów i jakie są główne tematy opinii?,"voice-of-customer, sentiment-segmentation, tema-clustering, consistency-check, fcr, sentyment, topic-modeling, llm-podsumowanie",wieloetapowe:4 (zależne),1) Linkowanie komentarz↔interakcja; 2) Sentyment/ocena; 3) Tematy/klastry; 4) Podsumowanie powodów.,,,,,,,,,,,,,,,,"voice-of-customer, sentiment-segmentation, tema-clustering, consistency-check, fcr, sentyment, topic-modeling, llm-podsumowanie",,"voice-of-customer, sentiment-segmentation, tema-clustering, consistency-check, fcr, sentyment, topic-modeling, llm-podsumowanie",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ZDKwKZ,Analiza kontrastowa rozmów ,Poprawa wskaźników jakościowych FCR/NPS/Sat NET,,Analiza porównawcza przypadków których doradca osiągnął założony cel rozmowy z tymi w których tego celu nie spełnił. Przykłady: utrzymanie produktów u klienta; wysokie oceny jakościowe vs niskie oceny jakościowe,Zwiększenie efektywności celów biznesowych np.: sprzedaży produktów,Jak wydobyć różnice między rozmowami skutecznymi i nieskutecznymi?,"contrastive-analysis, pattern-mining, frazy-ekstrakcja, llm-różnice, ranking-cech",wieloetapowe:4,1) Dobór par/zbiorów; 2) Ekstrakcja cech; 3) Analiza różnic; 4) Rekomendacje.,,,,,,,,,,,,,,,,"contrastive-analysis, pattern-mining, frazy-ekstrakcja, llm-różnice, ranking-cech",,"contrastive-analysis, pattern-mining, frazy-ekstrakcja, llm-różnice, ranking-cech",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,,,,,,,,,,,7.0,Analiza relacji między doradcą a klientem np. czy doradca prowadzi dialog z klientem czy monolog.,NPS,KONTROLA,,2.0,zbyt długie monologii doradcy (w początkowej cześci rozmowy),ustalenie,"talk-time-analysis, dialog, kredyt-got, nps",Jaki procent rozmowy stanowią monologi doradcy - zwłaszcza w początkowej części rozmowy,udział monologu doradcy w trakcie prezentacji oferty kredytowej ,spadek % monologu doradcy,ODZ,,,"talk-time-analysis, dialog, kredyt-got, nps","talk-time-analysis, dialog, kredyt-got, nps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZRKiWS,Automatyczne kodowanie rozmów w celu faktycznego określenia tematu rozmowy,Oszczędność czasu,AHT,"Na podstawie tego, o czym była rozmowa narzędzie określa kod rozmowy","Uwolnienie czasu doradcy, eliminacja błędów w kodowaniu (poprawne kodowanie rozmowy)",Jak automatycznie przypisać do transkrypcji właściwy kod tematu (jedno- lub wieloetykietowy) na podstawie słownika/katalogu tematów?,"service, kategoryzacja-rozmów, multi-label-klasyfikacja, frazy-ekstrakcja, baza-wektorowa-tematy, retrieval+reranking, thresholding, human-in-the-loop, scoring-jakości",wieloetapowe:3-4,"1) Zdefiniować taksonomię tematów; 2) Zbudować wektorową bazę tematów i przykładów; 3) Klasyfikacja (multi-label) z retrieval+reranking; 4) Kalibracja progów, ewaluacja i pętla HIL.","do pogadania z zespołem Patryka/Ewy - co oni mają gdzie się przecinamy. jakim sposobem klasyfikują tą rozmowę - czy robią odwołania do jakiejś bazy produktowej (wektorwej), czy mają listę kodów rozmów, czy robią nowe kody na podstawie rozmów, czy wymyślili nowe kody z pomocą podsumowań llm",,,,,,,,,,,,,,,"service, kategoryzacja-rozmów, multi-label-klasyfikacja, frazy-ekstrakcja, baza-wektorowa-tematy, retrieval+reranking, thresholding, human-in-the-loop, scoring-jakości",,"service, kategoryzacja-rozmów, multi-label-klasyfikacja, frazy-ekstrakcja, baza-wektorowa-tematy, retrieval+reranking, thresholding, human-in-the-loop, scoring-jakości",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,19.0,Autoryzacja mobilna,NPS,KONTROLA,,2.0,"Propozycja wyboru AM lub standard weryfikacji, zamiast prio na AM",co tutaj jest badane - prośba o doprecyzowanie,"mobilna-autoryzacja, frazy-binary, service, self-service",Czy doradca proponuje klientowi autoryzację mobilną zamiast standardowej weryfikacji?,"% propozycji ""czy"" z opcją wyboru po stronie konsultanta wychodzące i przychodzące",wzrost identyfikacji za pomocą AM,ODZ,,,"mobilna-autoryzacja, frazy-binary, service, self-service","mobilna-autoryzacja, frazy-binary, service, self-service",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
